Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of a nutrient adequate diet [CoNA],Cost of an energy sufficient diet [CoCA],Cost of animal-source foods [CoHD_asf],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],Cost of fruits [CoHD_f],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],"Cost of legumes, nuts and seeds [CoHD_lns]","Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats [CoHD_of],Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Cost of starchy staples [CoHD_ss],Cost of vegetables [CoHD_v],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Population [Pop]
Food Prices for Nutrition 1.0,FPN 1.0,Angola,AGO,2017,YR2017,0.972,4.371,0.726,3.264,0.315,1.417,4.327,3.08,3.231,1.403,1.011,1.21,0.717,0.85,0.395,0.47,0.166,0.2,0.839,1.199,1.43,0.234,0.166,0.091,0.038,0.277,0.194,57.2,87.1,92.9,17,26,27.7,29816769
Food Prices for Nutrition 1.0,FPN 1.0,Angola,AGO,2018,YR2018,..,4.336,..,..,..,..,4.293,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93.4,..,..,28.8,30809787
Food Prices for Nutrition 1.0,FPN 1.0,Angola,AGO,2019,YR2019,..,4.396,..,..,..,..,4.352,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93.9,..,..,29.9,31825299
Food Prices for Nutrition 1.0,FPN 1.0,Angola,AGO,2020,YR2020,..,4.58,..,..,..,..,4.534,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94.3,..,..,31,32866268
Food Prices for Nutrition 1.0,FPN 1.0,Angola,AGO,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Anguilla,AIA,2017,YR2017,0.577,3.755,0.378,2.458,0.203,1.321,3.717,2.84,2.433,1.308,0.647,0.83,0.811,1.04,0.328,0.42,0.134,0.17,0.778,1.019,1.31,0.174,0.218,0.088,0.036,0.274,0.209,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Anguilla,AIA,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Anguilla,AIA,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Anguilla,AIA,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Anguilla,AIA,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Antigua and Barbuda,ATG,2017,YR2017,0.767,4.154,0.563,3.047,0.174,0.942,4.112,4.41,3.017,0.933,0.682,1.13,1.003,1.66,0.429,0.71,0.115,0.19,0.604,1.279,2.12,0.166,0.244,0.104,0.028,0.311,0.147,..,..,..,..,..,..,95425
Food Prices for Nutrition 1.0,FPN 1.0,Antigua and Barbuda,ATG,2018,YR2018,..,4.345,..,..,..,..,4.302,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96282
Food Prices for Nutrition 1.0,FPN 1.0,Antigua and Barbuda,ATG,2019,YR2019,..,4.435,..,..,..,..,4.391,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97115
Food Prices for Nutrition 1.0,FPN 1.0,Antigua and Barbuda,ATG,2020,YR2020,..,4.549,..,..,..,..,4.504,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97928
Food Prices for Nutrition 1.0,FPN 1.0,Antigua and Barbuda,ATG,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Argentina,ARG,2017,YR2017,0.395,3.375,0.31,2.652,0.077,0.659,3.341,5.12,2.625,0.652,0.669,1.44,0.733,1.58,0.656,1.42,0.117,0.25,0.463,0.703,1.52,0.2,0.219,0.196,0.035,0.21,0.139,0.3,7.1,11,0.1,3.1,4.8,44044811
Food Prices for Nutrition 1.0,FPN 1.0,Argentina,ARG,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Argentina,ARG,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Argentina,ARG,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Argentina,ARG,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Armenia,ARM,2017,YR2017,0.27,3.127,0.192,2.23,0.088,1.023,3.096,3.06,2.208,1.013,0.973,1.81,0.488,0.91,0.541,1.01,0.123,0.23,0.537,0.433,0.81,0.314,0.158,0.175,0.04,0.14,0.173,0.6,16.8,40.9,0,0.5,1.2,2944789
Food Prices for Nutrition 1.0,FPN 1.0,Armenia,ARM,2018,YR2018,..,3.198,..,..,..,..,3.166,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.7,..,..,1.2,2951741
Food Prices for Nutrition 1.0,FPN 1.0,Armenia,ARM,2019,YR2019,..,3.27,..,..,..,..,3.237,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.6,..,..,1.3,2957728
Food Prices for Nutrition 1.0,FPN 1.0,Armenia,ARM,2020,YR2020,..,3.28,..,..,..,..,3.247,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.9,..,..,1.3,2963234
Food Prices for Nutrition 1.0,FPN 1.0,Armenia,ARM,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Aruba,ABW,2017,YR2017,0.723,3.453,0.6,2.864,0.239,1.141,3.418,3.02,2.835,1.13,0.718,0.9,0.475,0.6,0.407,0.51,0.115,0.14,0.797,0.907,1.14,0.21,0.139,0.119,0.034,0.265,0.233,..,..,..,..,..,..,105361
Food Prices for Nutrition 1.0,FPN 1.0,Aruba,ABW,2018,YR2018,..,3.657,..,..,..,..,3.62,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,105846
Food Prices for Nutrition 1.0,FPN 1.0,Aruba,ABW,2019,YR2019,..,3.946,..,..,..,..,3.907,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,106310
Food Prices for Nutrition 1.0,FPN 1.0,Aruba,ABW,2020,YR2020,..,4.18,..,..,..,..,4.138,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,106766
Food Prices for Nutrition 1.0,FPN 1.0,Aruba,ABW,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Australia,AUS,2017,YR2017,0.333,2.282,0.235,1.611,0.045,0.31,2.259,7.36,1.595,0.307,0.458,2.07,0.667,3.02,0.249,1.13,0.067,0.3,0.221,0.597,2.7,0.203,0.295,0.11,0.03,0.264,0.098,0.2,0.5,0.7,0.1,0.1,0.2,24601860
Food Prices for Nutrition 1.0,FPN 1.0,Australia,AUS,2018,YR2018,..,2.296,..,..,..,..,2.273,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7,..,..,0.2,24982688
Food Prices for Nutrition 1.0,FPN 1.0,Australia,AUS,2019,YR2019,..,2.348,..,..,..,..,2.325,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7,..,..,0.2,25365745
Food Prices for Nutrition 1.0,FPN 1.0,Australia,AUS,2020,YR2020,..,2.587,..,..,..,..,2.561,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7,..,..,0.2,25687041
Food Prices for Nutrition 1.0,FPN 1.0,Australia,AUS,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Austria,AUT,2017,YR2017,0.39,2.8,0.318,2.279,0.049,0.349,2.772,8.01,2.256,0.346,0.612,2.67,0.819,3.58,0.36,1.57,0.055,0.24,0.229,0.698,3.05,0.221,0.295,0.13,0.02,0.252,0.083,0.2,0.5,0.6,0,0,0.1,8797566
Food Prices for Nutrition 1.0,FPN 1.0,Austria,AUT,2018,YR2018,..,2.877,..,..,..,..,2.848,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8,..,..,0.1,8840521
Food Prices for Nutrition 1.0,FPN 1.0,Austria,AUT,2019,YR2019,..,2.846,..,..,..,..,2.818,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8,..,..,0.1,8879920
Food Prices for Nutrition 1.0,FPN 1.0,Austria,AUT,2020,YR2020,..,3.011,..,..,..,..,2.981,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8,..,..,0.1,8917205
Food Prices for Nutrition 1.0,FPN 1.0,Austria,AUT,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Azerbaijan,AZE,2017,YR2017,0.288,2.372,0.225,1.855,0.097,0.797,2.348,2.98,1.836,0.789,0.729,1.63,0.26,0.58,0.463,1.03,0.132,0.29,0.448,0.317,0.71,0.31,0.111,0.197,0.056,0.135,0.191,0,0,0,0,0,0,9854033
Food Prices for Nutrition 1.0,FPN 1.0,Azerbaijan,AZE,2018,YR2018,..,2.423,..,..,..,..,2.399,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,9939771
Food Prices for Nutrition 1.0,FPN 1.0,Azerbaijan,AZE,2019,YR2019,..,2.484,..,..,..,..,2.459,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,10024283
Food Prices for Nutrition 1.0,FPN 1.0,Azerbaijan,AZE,2020,YR2020,..,2.559,..,..,..,..,2.533,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,10093121
Food Prices for Nutrition 1.0,FPN 1.0,Azerbaijan,AZE,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,"Bahamas, The",BHS,2017,YR2017,0.69,4.319,0.755,4.73,0.169,1.06,4.276,4.08,4.683,1.049,0.848,1.48,1.03,1.79,0.656,1.14,0.453,0.79,0.574,0.716,1.25,0.198,0.241,0.153,0.106,0.167,0.134,..,..,..,..,..,..,381749
Food Prices for Nutrition 1.0,FPN 1.0,"Bahamas, The",BHS,2018,YR2018,..,4.431,..,..,..,..,4.387,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,385635
Food Prices for Nutrition 1.0,FPN 1.0,"Bahamas, The",BHS,2019,YR2019,..,4.408,..,..,..,..,4.364,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,389486
Food Prices for Nutrition 1.0,FPN 1.0,"Bahamas, The",BHS,2020,YR2020,..,4.533,..,..,..,..,4.488,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,393248
Food Prices for Nutrition 1.0,FPN 1.0,"Bahamas, The",BHS,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Bahrain,BHR,2017,YR2017,0.492,3.413,0.412,2.858,0.115,0.8,3.379,4.27,2.829,0.792,1.006,1.54,0.474,0.73,0.373,0.57,0.185,0.28,0.653,0.688,1.05,0.298,0.14,0.11,0.055,0.204,0.193,..,..,..,..,..,..,1494077
Food Prices for Nutrition 1.0,FPN 1.0,Bahrain,BHR,2018,YR2018,..,3.498,..,..,..,..,3.463,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1569440
Food Prices for Nutrition 1.0,FPN 1.0,Bahrain,BHR,2019,YR2019,..,3.609,..,..,..,..,3.573,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1641164
Food Prices for Nutrition 1.0,FPN 1.0,Bahrain,BHR,2020,YR2020,..,3.874,..,..,..,..,3.835,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1701583
Food Prices for Nutrition 1.0,FPN 1.0,Bahrain,BHR,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Bangladesh,BGD,2017,YR2017,0.648,2.911,0.438,1.967,0.145,0.651,2.882,4.48,1.947,0.644,1.143,3.18,0.559,1.56,0.227,0.63,0.118,0.33,0.359,0.477,1.33,0.397,0.194,0.079,0.041,0.166,0.125,0.8,51.8,77.4,1.2,82.7,123.7,159685421
Food Prices for Nutrition 1.0,FPN 1.0,Bangladesh,BGD,2018,YR2018,..,3.001,..,..,..,..,2.971,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.6,..,..,120.5,161376713
Food Prices for Nutrition 1.0,FPN 1.0,Bangladesh,BGD,2019,YR2019,..,3.055,..,..,..,..,3.024,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.5,..,..,119.8,163046173
Food Prices for Nutrition 1.0,FPN 1.0,Bangladesh,BGD,2020,YR2020,..,3.095,..,..,..,..,3.064,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.5,..,..,121.1,164689383
Food Prices for Nutrition 1.0,FPN 1.0,Bangladesh,BGD,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Barbados,BRB,2017,YR2017,..,..,0.542,2.248,0.218,0.905,..,..,2.226,0.896,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,286229
Food Prices for Nutrition 1.0,FPN 1.0,Barbados,BRB,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Barbados,BRB,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Barbados,BRB,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Barbados,BRB,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Belarus,BLR,2017,YR2017,0.378,3.209,0.257,2.183,0.095,0.808,3.177,3.97,2.161,0.8,0.826,1.63,0.678,1.34,0.643,1.27,0.174,0.34,0.506,0.349,0.69,0.26,0.213,0.202,0.055,0.11,0.159,0,0.1,0.8,0,0,0.1,9458989
Food Prices for Nutrition 1.0,FPN 1.0,Belarus,BLR,2018,YR2018,..,3.261,..,..,..,..,3.228,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,0,9438785
Food Prices for Nutrition 1.0,FPN 1.0,Belarus,BLR,2019,YR2019,..,3.343,..,..,..,..,3.31,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,..,..,0,9419758
Food Prices for Nutrition 1.0,FPN 1.0,Belarus,BLR,2020,YR2020,..,3.343,..,..,..,..,3.31,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,0,9379952
Food Prices for Nutrition 1.0,FPN 1.0,Belarus,BLR,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Belgium,BEL,2017,YR2017,0.347,2.891,0.291,2.43,0.032,0.266,2.862,10.88,2.406,0.263,0.745,3.36,0.79,3.56,0.369,1.66,0.06,0.27,0.222,0.677,3.05,0.26,0.276,0.129,0.021,0.237,0.078,0.1,0.3,0.3,0,0,0,11375158
Food Prices for Nutrition 1.0,FPN 1.0,Belgium,BEL,2018,YR2018,..,2.992,..,..,..,..,2.962,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,0,11427054
Food Prices for Nutrition 1.0,FPN 1.0,Belgium,BEL,2019,YR2019,..,2.973,..,..,..,..,2.943,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,0,11488980
Food Prices for Nutrition 1.0,FPN 1.0,Belgium,BEL,2020,YR2020,..,3.162,..,..,..,..,3.13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,0,11555997
Food Prices for Nutrition 1.0,FPN 1.0,Belgium,BEL,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Belize,BLZ,2017,YR2017,1.009,2.501,1.143,2.831,0.461,1.141,2.476,2.19,2.803,1.13,0.776,2.04,0.162,0.43,0.224,0.59,0.129,0.34,0.38,0.805,2.12,0.313,0.065,0.09,0.052,0.325,0.153,13.9,45.5,39.4,0.1,0.2,0.1,375775
Food Prices for Nutrition 1.0,FPN 1.0,Belize,BLZ,2018,YR2018,..,2.344,..,..,..,..,2.321,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.4,..,..,0.1,383071
Food Prices for Nutrition 1.0,FPN 1.0,Belize,BLZ,2019,YR2019,..,2.243,..,..,..,..,2.221,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37,..,..,0.1,390351
Food Prices for Nutrition 1.0,FPN 1.0,Belize,BLZ,2020,YR2020,..,2.162,..,..,..,..,2.14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.4,..,..,0.1,397621
Food Prices for Nutrition 1.0,FPN 1.0,Belize,BLZ,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Benin,BEN,2017,YR2017,1.721,3.586,1.211,2.523,0.316,0.659,3.55,5.44,2.498,0.652,1.168,2.85,0.538,1.31,0.297,0.72,0.125,0.3,0.41,1.012,2.47,0.329,0.152,0.084,0.035,0.285,0.115,13.9,82.3,90.7,1.5,9.2,10.1,11175192
Food Prices for Nutrition 1.0,FPN 1.0,Benin,BEN,2018,YR2018,..,3.707,..,..,..,..,3.67,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87.1,..,..,10,11485035
Food Prices for Nutrition 1.0,FPN 1.0,Benin,BEN,2019,YR2019,..,3.701,..,..,..,..,3.664,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.9,..,..,9.8,11801151
Food Prices for Nutrition 1.0,FPN 1.0,Benin,BEN,2020,YR2020,..,3.744,..,..,..,..,3.707,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.9,..,..,10.1,12123198
