country_name,happiness,wealth,support,health,freedom,generosity,corruption,positivity,negativity
Congo (Kinshasa),4.137812161445618,6.8936971664428714,0.7426125645637512,52.36500091552735,0.6048150151968003,0.014734918344765901,0.843805319070816,0.5550734847784042,0.3098853513598442
Costa Rica,7.095479435390896,9.829854382408989,0.8980492982599471,69.5999993218316,0.9093085063828362,-0.023619446635065173,0.7881429923905267,0.8077077799373202,0.2744642380211088
Croatia,5.686769515275955,10.205618977546692,0.8357142880558968,68.0762505531311,0.6460582092404366,-0.1400844049203442,0.9175563715398312,0.572560254484415,0.28415009193122387
Cuba,5.417868614196777,,0.9695951342582704,68.0,0.2814579308032989,,,0.596187174320221,0.2766015231609344
Cyprus,6.097977787256241,10.546002833048503,0.8060445487499237,71.75000047683716,0.7403952814638615,0.032191159141560385,0.8480847924947739,0.6687226817011833,0.3185545336455107
Czechia,6.637676270802816,10.502140871683757,0.9200840751330058,68.30266774495443,0.8258817156155904,-0.10150013185505355,0.8925137797991435,0.6801435351371765,0.24123893777529395
Denmark,7.664026419321696,10.89659431245592,0.9549461536937289,70.18777762518988,0.9423715637789832,0.16178280504091694,0.19808083689875067,0.7823510997825198,0.19980489297045598
Djibouti,4.822564959526062,8.053561091423035,0.7413259545962015,54.359999656677246,0.733235627412796,-0.009414846659637925,0.5815402120351791,0.6376981337865194,0.17763919879992798
Dominican Republic,5.3173749976687965,9.602047284444174,0.8692938884099325,64.20000012715657,0.8612728549374474,-0.06714332905701463,0.7369294067223867,0.7240963909361098,0.2873212281200621
Ecuador,5.73787162039015,9.302574263678657,0.8242545359664493,67.1500006781684,0.7736005153920915,-0.11354074254631993,0.7793454560968611,0.7902492748366462,0.323157388303015
Egypt,4.437847044732836,9.282015800476074,0.7314155532254113,62.346666759914825,0.6359805815360126,-0.151941666708273,0.8024672567844391,0.5035680515898598,0.35188401904371047
El Salvador,6.0380692217085095,9.010537412431505,0.7778507040606605,64.6500006781684,0.7748950123786926,-0.12146680419229797,0.7188375807470746,0.8125860061910417,0.29449750731388724
Estonia,5.7766671461217545,10.376311526579016,0.9207303594140446,68.11764661003562,0.8036792067920461,-0.13355739480432338,0.6170428132309633,0.6746662048732534,0.19006821337868182
Eswatini,4.244193494319916,9.0247061252594,0.7719462215900421,48.59999942779541,0.6131178438663483,-0.14874146133661265,0.776717022061348,0.7205859869718552,0.2941252291202545
Ethiopia,4.301156239076094,7.563000548969615,0.7001318823207509,59.030908757990055,0.7280066501010548,0.09036694706248287,0.7387804448604584,0.5753125710920854,0.2625557698986747
Finland,7.624132037162781,10.761078655719757,0.9517608657479286,70.44250059127808,0.9425844997167587,0.0013909424233134056,0.23770636599510905,0.7375889867544174,0.18515198864042756
France,6.6595971054501,10.681800736321343,0.9162941541936662,71.63888888888889,0.8281412058406405,-0.09292861687786436,0.6196225881576538,0.7071686188379923,0.2527531633774439
Gabon,4.624921560287476,9.571502098670372,0.7543477920385507,56.84615384615385,0.6733913192382226,-0.19449328917723432,0.8171333074569702,0.5925057071905869,0.36968504924040574
Gambia,4.634774017333984,7.632184219360352,0.6629423379898072,57.24000091552735,0.7066571593284607,0.3499567911028862,0.7593635559082031,0.7377021074295044,0.3571885704994201
Georgia,4.432478653060065,9.403472847408718,0.605309373802609,64.19999843173557,0.6838244729571872,-0.2530785045690006,0.5612397574716144,0.4547311266263326,0.23917719721794123
Germany,6.82240989473131,10.824794345431858,0.9190114272965325,70.44888899061415,0.8582386871178945,0.0804151134798303,0.5585565004083846,0.6983332071039412,0.20608754621611697
Ghana,4.730777608023749,8.398836612701416,0.6813880337609185,56.15000004238553,0.7996651397811042,0.07149508593041293,0.8672599626912011,0.6675031615628136,0.23620073000590003
Greece,5.617615615620332,10.325294719022864,0.8168357926256516,70.48117738611558,0.5207396430127761,-0.27628622297197575,0.8757874930606169,0.5885506202192867,0.30213963985443115
Guatemala,6.25726792216301,8.977795898914337,0.8229472041130066,61.02499985694885,0.8000985011458397,0.05018888566701206,0.7991197966039181,0.8138375319540501,0.2859910996630788
Guinea,4.390227904686561,7.746348160963792,0.6182588293002202,52.65384615384615,0.7014255752930274,0.064100801711902,0.7724833121666541,0.6721177926430335,0.3866808872956496
Guyana,5.992826461791992,9.088530540466309,0.8487651944160461,56.2400016784668,0.6940056681632996,0.0820125043392181,0.8355690836906433,0.7606330513954163,0.2964197695255279
Haiti,3.9541936354203657,8.034673127261074,0.6161958521062677,39.77090891924772,0.4617644792253321,0.2603760497136549,0.7520326430147345,0.558162426406687,0.3130265338854356
