country_code,country_name,calories_pct,nutrients_pct,diet_pct,calories_mills,nutrients_mills,diet_mills,population
RWA,Rwanda,34.5,66.8,89.0,4.1,8.0,10.7,11980960.0
SAS,South Asia,1.8,54.2,75.6,32.1,951.4,1327.5,1756587053.0
SAU,Saudi Arabia,,,,,,,33101183.0
SDN,Sudan,12.7,54.4,86.3,5.2,22.2,35.2,40813398.0
SEN,Senegal,3.2,42.3,53.0,0.5,6.5,8.2,15419354.0
SGP,Singapore,,,,,,,5612253.0
SLE,Sierra Leone,54.4,84.4,91.1,4.1,6.3,6.8,7488427.0
SLV,El Salvador,,,,,,,6388124.0
SRB,Serbia,3.2,15.2,29.0,0.2,1.1,2.0,7020858.0
SSF,Sub-Saharan Africa,29.8,72.2,86.2,301.3,730.5,872.2,1021249977.0
STP,Sao Tome and Principe,16.3,75.7,84.4,0.0,0.2,0.2,207086.0
SUR,Suriname,17.9,40.9,57.6,0.1,0.2,0.3,570501.0
SVK,Slovak Republic,0.1,1.3,2.0,0.0,0.1,0.1,5439232.0
SVN,Slovenia,0.0,0.0,0.1,0.0,0.0,0.0,2066388.0
SWE,Sweden,0.2,0.3,0.5,0.0,0.0,0.1,10057698.0
SWZ,Eswatini,22.8,60.4,74.8,0.3,0.7,0.8,1124808.0
SXM,Sint Maarten (Dutch part),,,,,,,40574.0
SYC,Seychelles,0.1,2.5,8.8,0.0,0.0,0.0,95843.0
TCA,Turks and Caicos Islands,,,,,,,37116.0
TCD,Chad,13.9,65.0,84.9,2.1,9.8,12.8,15016761.0
TGO,Togo,,,,,,,7698476.0
THA,Thailand,0.0,5.6,17.5,0.0,3.9,12.1,69209817.0
TJK,Tajikistan,1.7,26.5,42.9,0.2,2.3,3.8,8880270.0
TTO,Trinidad and Tobago,0.2,6.1,10.7,0.0,0.1,0.1,1384060.0
TUN,Tunisia,0.0,3.2,21.8,0.0,0.4,2.5,11433438.0
TUR,TÃÂ¼rkiye,0.0,3.4,6.9,0.0,2.8,5.6,81116451.0
TWN,"Taiwan, China",0.0,0.2,0.2,0.0,0.1,0.1,23560000.0
TZA,Tanzania,43.9,79.7,88.7,24.0,43.6,48.5,54660345.0
UGA,Uganda,14.2,69.3,84.8,5.9,28.5,34.9,41166588.0
UMC,Upper middle income,1.2,10.6,16.5,28.7,257.7,401.2,2427694194.0
URY,Uruguay,0.0,0.8,2.7,0.0,0.0,0.1,3436645.0
USA,United States,1.2,1.5,2.0,4.1,4.9,6.5,325122128.0
VCT,St. Vincent and the Grenadines,,,,,,,109826.0
VGB,British Virgin Islands,,,,,,,29567.0
VNM,Vietnam,1.3,15.9,32.4,1.2,15.1,30.7,94600643.0
WLD,WORLD,5.4,31.1,42.9,381.2,2212.2,3049.1,7208180851.0
ZAF,South Africa,24.0,60.1,65.2,13.7,34.3,37.2,57009751.0
ZMB,Zambia,63.8,81.8,87.6,10.7,13.8,14.8,16853608.0
ZWE,Zimbabwe,15.8,70.8,84.1,2.2,10.1,12.0,14236599.0
